Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Win%,RotY_Votes
Michael Ansley,SF,22,ORL,72,5,17,3.2,6.5,0.5,0,0,,3.2,6.5,0.5,0.5,2.3,3.2,0.7,2.6,2.4,5,0.6,0.3,0.2,0.7,2.1,8.7,1990,0.22,0
B.J. Armstrong,PG,22,CHI,81,0,15.9,2.3,4.8,0.5,0,0.1,0.5,2.3,4.8,0.5,0.5,0.9,1,0.9,0.2,1,1.3,2.5,0.6,0.1,1,1.3,5.6,1990,0.671,0
Dana Barros,PG,22,SEA,81,25,20.1,3.7,9.1,0.4,1.2,2.9,0.4,2.5,6.2,0.4,0.5,1.1,1.4,0.8,0.4,1.2,1.6,2.5,0.7,0,1.5,1.2,9.7,1990,0.5,0
Kenny Battle,SG,25,PHO,59,8,12.4,1.6,2.9,0.5,0,0.1,0.2,1.6,2.8,0.6,0.6,0.9,1.4,0.7,0.7,1.4,2.1,0.6,0.6,0.2,0.5,1.6,4.1,1990,0.659,0
Winston Bennett,SF,24,CLE,55,34,18,2.5,5.2,0.5,0,0,,2.5,5.2,0.5,0.5,1.2,1.7,0.7,1.5,1.9,3.4,1,0.4,0.2,1.1,2.4,6.1,1990,0.512,0
Mookie Blaylock,PG,22,NJN,50,17,25.3,4.2,11.4,0.4,0.4,1.6,0.2,3.9,9.8,0.4,0.4,1.3,1.6,0.8,0.8,2,2.8,4.2,1.6,0.3,2.2,2.2,10.1,1990,0.207,0
Chucky Brown,SF,21,CLE,75,35,17.9,2.8,6,0.5,0,0.1,0,2.8,5.9,0.5,0.5,1.7,2.2,0.8,1.1,2,3.1,0.7,0.4,0.3,0.9,2,7.3,1990,0.512,0
Raymond Brown,PF,24,UTA,16,0,3.5,0.5,1.8,0.3,0,0,,0.5,1.8,0.3,0.3,0,0.1,0,0.6,0.3,0.9,0.2,0,0,0.4,0.7,1,1990,0.671,0
Stanley Brundy,SF,22,NJN,16,0,8,0.9,1.9,0.5,0,0,,0.9,1.9,0.5,0.5,0.4,1.1,0.4,0.9,0.7,1.6,0.2,0.4,0.3,0.4,1.5,2.3,1990,0.207,0
Torgeir Bryn,C,25,LAC,3,0,3.3,0,0.7,0,0,0,,0,0.7,0,0,1.3,2,0.7,0,0.7,0.7,0,0.7,0.3,0.3,1.7,1.3,1990,0.366,0
Steve Bucknall,SG,23,LAL,18,0,4.2,0.5,1.8,0.3,0,0.1,0,0.5,1.8,0.3,0.3,0.3,0.3,0.8,0.3,0.1,0.4,0.6,0.1,0.1,0.6,0.6,1.3,1990,0.768,0
Adrian Caldwell,PF,23,HOU,51,0,6.5,0.8,1.5,0.6,0,0,,0.8,1.5,0.6,0.6,0.3,0.5,0.5,0.7,1.4,2.1,0.1,0.2,0.4,0.6,1.4,1.9,1990,0.5,0
Lanard Copeland,SG,24,PHI,23,0,4.8,1.3,3,0.5,0,0.2,0.2,1.3,2.7,0.5,0.5,0.5,0.6,0.8,0.2,0.3,0.4,0.4,0,0,0.8,0.5,3.2,1990,0.646,0
Terry Davis,PF,22,MIA,63,9,14,1.9,4.2,0.5,0,0,0,1.9,4.1,0.5,0.5,0.9,1.4,0.6,1.5,2.2,3.6,0.4,0.4,0.4,1.1,2.7,4.7,1990,0.22,0
Byron Dinkins,PG,22,HOU,33,0,11,1.3,3.3,0.4,0,0.3,0.1,1.3,3,0.4,0.4,0.8,0.9,0.9,0.4,0.8,1.2,2.3,0.6,0.1,1.1,0.9,3.5,1990,0.5,0
Vlade Divac,C,21,LAL,82,5,19.6,3.3,6.7,0.5,0,0.1,0,3.3,6.6,0.5,0.5,1.9,2.6,0.7,2,4.2,6.2,0.9,1,1.4,1.3,2.9,8.5,1990,0.768,0
